600776,东方通信,3607万,-28.67,11.3亿,-4.09,10.37亿,1964万,3343万,-1307万,11.61亿,3769万,4523万
600760,中航沈飞,8.49亿,97.07,116亿,2.68,105亿,395万,2.67亿,-6732万,109亿,10.07亿,10.02亿
600759,洲际油气,-1.62亿,-628.43,7.49亿,-44.14,3.84亿,1.16亿,9029万,1.81亿,9.23亿,-1.83亿,-1.82亿
600751,海航科技,4.53亿,225.72,1520亿,-3.19,1402亿,19.51亿,65.48亿,15.84亿,1504亿,11.06亿,11.06亿
600745,闻泰科技,17.01亿,767.19,241亿,110.93,199亿,5.88亿,4.96亿,3.19亿,223亿,21.09亿,20.86亿
600744,华银电力,-1.65亿,7.68,33.32亿,-1.41,31.39亿,551万,6949万,2.36亿,34.96亿,-1.41亿,-1.39亿
600730,中国高科,-279万,-1048,5053万,-13.48,367万,680万,2120万,-97.71万,4075万,1580万,1004万
600649,城投控股,1.41亿,-62.28,1.44亿,-92.11,4149万,1521万,4277万,3315万,1.77亿,1.74亿,1.85亿
600619,海立股份,5375万,-68.29,50.22亿,-26.41,43.73亿,1.36亿,1.82亿,6453万,49.81亿,7883万,7976万
600600,青岛啤酒,18.55亿,13.77,157亿,-5.27,91.32亿,28.65亿,5.03亿,-2.36亿,135亿,25.75亿,25.58亿
600567,山鹰纸业,5.01亿,-45.83,98.26亿,-12.03,81.46亿,1.52亿,5.36亿,2.87亿,94.17亿,6.66亿,5.85亿
600562,国睿科技,1.73亿,14.52,17.08亿,45.08,13.72亿,2561万,4537万,-685万,14.92亿,2.23亿,2.23亿
600522,中天科技,10.8亿,-0.52,209亿,12.48,180亿,4.75亿,2.45亿,1.94亿,195亿,13.79亿,13.84亿
600521,华海药业,5.78亿,72.77,33.06亿,24.6,12.4亿,5.84亿,4.46亿,4104万,25.77亿,7.41亿,7.16亿
600497,驰宏锌锗,3.69亿,-47.08,82.61亿,-15.21,71.5亿,4287万,3.39亿,2.14亿,78.35亿,4.78亿,4.7亿
600496,精工钢构,2.7亿,48.42,47.13亿,0.94,39.07亿,6441万,1.75亿,6133万,44亿,2.79亿,2.86亿
600487,亨通光电,4.43亿,-39.33,155亿,0.38,131亿,5.25亿,5.05亿,3.78亿,151亿,4.99亿,5.02亿
600428,中远海特,7210万,-27.49,38.3亿,-3.91,33.41亿,2333万,2.65亿,1.64亿,38.05亿,6649万,9325万
600381,青海春天,-6445万,-2437,3365万,-74.59,2447万,1869万,2544万,-83.65万,7037万,-6717万,-6717万
600369,西南证券,4.28亿,-12.65,16.22亿,-5.14,-,-,9.96亿,-,11.56亿,4.65亿,4.53亿
600306,*ST商城,-6570万,-34.41,9902万,-81.26,8557万,166万,2367万,3897万,1.6亿,-6413万,-6416万
600290,*ST华仪,-9965万,-3295,2.85亿,-46.6,2.36亿,5566万,4393万,1949万,3.75亿,-9938万,-9924万
600247,*ST成城,-2631万,-15.58,656万,-5.8,161万,212万,295万,1955万,2686万,-2662万,-2662万
600242,*ST中昌,-15.92万,-100.32,4.69亿,-71.63,4.1亿,999万,1899万,2975万,4.69亿,159万,149万
600212,*ST江泉,664万,104.62,1.52亿,17.96,1.29亿,49.31万,1250万,-19.6万,1.44亿,620万,664万
